pc1,pc2,true_label,pred_label,correct
-0.4283373158302762,-0.556021703927949,1,1,1
-0.06417337806142973,-0.18514371822487616,0,0,1
-0.42110555178602366,-0.5619655678305858,1,1,1
0.04992592125465141,-0.05084190791797076,0,1,0
-0.42518673486625647,-0.5573362049340457,1,1,1
-0.428337315830278,-0.55602170392795,1,1,1
0.08154356521504665,-0.03678200453625331,0,0,1
-0.42110555178602366,-0.5619655678305858,1,1,1
0.339841039168154,-0.27800323947802075,0,1,0
-0.42518673486625647,-0.5573362049340457,1,1,1
0.048163602184085205,-0.06219874645209985,1,0,0
-0.13683425382162026,-0.24422730991101899,0,0,1
-0.42295812581692455,-0.5608167025133913,1,1,1
-0.0640958773258074,-0.11138408552237518,0,0,1
-0.11234775185299771,-0.23145381046151473,0,0,1
-0.10375294445237769,-0.21411558794101773,0,0,1
-0.428337315830278,-0.55602170392795,1,1,1
-0.42110555178602366,-0.5619655678305858,1,1,1
0.30593072653268893,-0.305171413419995,1,1,1
-0.42518673486625647,-0.5573362049340457,1,1,1
0.07220025042792505,-0.043090884724393166,1,1,1
-0.143499785129224,-0.24675510383212956,0,0,1
-0.4020183215583534,-0.5461230252124003,0,1,0
-0.42295812581692455,-0.5608167025133913,1,1,1
-0.08389233003849576,-0.20299109944287136,0,0,1
-0.428337315830278,-0.55602170392795,1,1,1
-0.16815381212646963,-0.2743285549367027,1,1,1
-0.42110555178602366,-0.5619655678305858,1,1,1
-0.4028961595933728,-0.5398820999010274,1,1,1
0.026586863083160002,-0.6061035232504953,1,1,1
0.05966350879930504,-0.04310618690983757,1,1,1
-0.07661723497797486,-0.18264787769526536,0,0,1
0.05128652731788311,-0.06421995239977518,0,0,1
0.025279981277198667,-0.07274556767161744,0,1,0
-0.4112414864180884,-0.5501300144527472,1,1,1
0.37189131380176865,-0.24791235936747424,1,1,1
0.05456526792031027,-0.059158684664375176,0,0,1
-0.13721195401793052,-0.2460110928560572,0,0,1
-0.050068974851666094,-0.1692203356556072,0,0,1
-0.07497780214811035,-0.17961435776887366,0,0,1
0.3693475393337498,-0.23952144816977092,1,1,1
-0.054047443618088116,-0.170421770196278,0,0,1
-0.11096452468332738,-0.23369242137055535,0,1,0
-0.05098310140158436,-0.17077103879765618,0,0,1
-0.07329849830653067,-0.19252538514256642,0,0,1
-0.143499785129224,-0.24675510383212956,0,0,1
-0.41682114424936734,-0.5539508669989649,1,1,1
-0.0702505412485659,-0.18436497942119676,0,1,0
0.3128766507725949,-0.30294034774517714,1,1,1
0.36832660122434985,-0.2370126791222695,1,1,1
0.07820837347967945,-0.038800591626846695,0,0,1
-0.13683425382162026,-0.24422730991101899,0,0,1
-0.07160217771354013,-0.18367653822027252,0,1,0
-0.06606623799053844,-0.1850309904927122,0,0,1
-0.10879189268842927,-0.2249699781863318,1,1,1
-0.4138336146747557,-0.5446996202674241,1,1,1
-0.08862461643720623,-0.10577504580403758,0,0,1
0.34983861477845535,-0.2610767616195698,1,1,1
0.04730140680095756,-0.06539546165128507,0,0,1
-3.4638647175398942,5.859462849009773,0,0,1
-0.428337315830278,-0.55602170392795,1,1,1
0.3432893155717089,-0.2616510532107356,1,1,1
0.4322863996196402,-0.16790835666697168,1,1,1
-0.42295812581692455,-0.5608167025133913,1,1,1
-0.41937607434946134,-0.536736788588742,0,1,0
-0.051381081819214934,-0.17070668301553799,0,1,0
0.3330466852316824,-0.2852951172789077,1,1,1
0.30187857014756647,-0.2990146446363073,0,1,0
0.31683536984264443,-0.3086105412864065,1,1,1
6.149234037008076,2.759143912198102,0,1,0
-0.30009221444654843,-0.430953734747077,0,1,0
-0.41200141738038065,-0.5447329012176827,0,1,0
-0.13721195401793052,-0.2460110928560572,0,0,1
-0.4221678458314157,-0.5459421856015036,1,1,1
-0.06606623799053844,-0.1850309904927122,0,0,1
-0.07287776777558067,-0.18328573604115533,0,0,1
-0.060309204417550846,-0.17801702107954823,1,1,1
-0.04697398824907627,-0.17411780379197653,1,1,1
0.31683536984264443,-0.3086105412864065,1,1,1
0.3307166671955092,-0.2828528068025612,1,1,1
6.242708966062352,2.8363691125761887,0,1,0
0.37181921549244507,-0.2478622178348326,1,1,1
0.06091979246625962,-0.043792641564627394,1,1,1
-0.143499785129224,-0.24675510383212956,0,0,1
0.31683536984264443,-0.3086105412864065,1,1,1
0.33899618648031266,-0.26355018104648315,1,1,1
0.05346230597355053,-0.07202737874225458,1,1,1
0.059468893848139116,-0.043274501124475076,1,1,1
-0.13683425382162026,-0.24422730991101899,0,0,1
0.04828045636585325,-0.06245518242872339,0,0,1
0.026586863083160002,-0.6061035232504953,1,1,1
0.26872429517906693,-0.3497533949371839,1,1,1
0.04815405788291894,-0.062336575367573734,0,0,1
-0.14100434077043933,-0.2530867062733377,0,1,0
0.028438595422271517,-0.08011854489138663,0,0,1
-0.40366226745641626,-0.545612564800884,1,1,1
0.05115278764811099,-0.06356951118896058,0,0,1
-0.07763268152297173,-0.18336147854736154,0,0,1
-3.4488724725762743,5.855296137400668,0,1,0
-0.13721195401793052,-0.2460110928560572,0,0,1
-0.06606623799053844,-0.1850309904927122,0,0,1
-0.07045868856908741,-0.18194566022011174,0,0,1
-0.29060676429289256,-0.4099525057925611,0,1,0
-3.473548584119956,5.865525374834897,0,1,0
-0.12456658885259576,-0.24719496899544377,1,1,1
0.3365058474327868,-0.2800218265686142,0,1,0
-0.42110555178602366,-0.5619655678305858,1,1,1
-0.05098310140158436,-0.17077103879765618,0,0,1
-0.428337315830278,-0.55602170392795,1,1,1
-3.474877982317552,5.87029383626194,0,0,1
-0.08031642560101299,-0.18539144999993815,0,1,0
-0.42295812581692455,-0.5608167025133913,1,1,1
-0.143499785129224,-0.24675510383212956,0,0,1
0.0709056868967636,-0.044396007798330056,1,1,1
-0.42518673486625647,-0.5573362049340457,1,1,1
-0.15867713874904943,-0.26387289849671614,0,1,0
-0.11059804293523638,-0.22704243900254545,0,0,1
-0.07410396658797952,-0.17930889956348176,0,1,0
-0.42110555178602366,-0.5619655678305858,1,1,1
-3.469277610804948,5.858782300526686,0,1,0
0.07820837347967945,-0.038800591626846695,0,0,1
0.048085451844043274,-0.06234381256619721,0,0,1
-0.07659581907457115,-0.1856002262412637,0,0,1
0.030662158288010416,-0.6094012891858781,1,1,1
-0.10955097646165245,-0.23451880004268533,0,1,0
0.07321980102497512,-0.03906684780137859,1,1,1
0.024455119743368527,-0.6103481620732365,1,1,1
0.3365058474327868,-0.2800218265686142,0,1,0
-0.13721195401793052,-0.2460110928560572,0,0,1
-0.11459832118113301,-0.22970370308149343,0,1,0
-0.11234775185299771,-0.23145381046151473,0,0,1
-0.10766839106153156,-0.22841928982154655,0,1,0
-0.06606623799053844,-0.1850309904927122,0,0,1
