threshold,accuracy,precision_1,recall_1,f1_1,review_rate
-0.9855962698609302,0.5374331550802139,0.5374331550802139,1.0,0.6991304347826087,0.9278074866310161
-0.9725878065622964,0.5427807486631016,0.5403225806451613,1.0,0.7015706806282722,0.9278074866310161
-0.96965282831685,0.5454545454545454,0.5417789757412399,1.0,0.7027972027972028,0.9278074866310161
-0.9658499235792775,0.5481283422459893,0.5432432432432432,1.0,0.7040280210157618,0.9278074866310161
-0.9646538236348374,0.5508021390374331,0.5447154471544715,1.0,0.7052631578947368,0.9278074866310161
-0.9612980271674201,0.5481283422459893,0.5434782608695652,0.9950248756218906,0.70298769771529,0.9278074866310161
-0.9522214492270702,0.5508021390374331,0.5449591280653951,0.9950248756218906,0.704225352112676,0.9278074866310161
-0.9402119302141037,0.553475935828877,0.546448087431694,0.9950248756218906,0.7054673721340388,0.9278074866310161
-0.9398417268021118,0.5561497326203209,0.547945205479452,0.9950248756218906,0.7067137809187279,0.9278074866310161
-0.9384769818910181,0.5588235294117647,0.5494505494505495,0.9950248756218906,0.7079646017699115,0.9278074866310161
-0.9380561276129962,0.5614973262032086,0.5509641873278237,0.9950248756218906,0.7092198581560284,0.9278074866310161
-0.937825000683228,0.56951871657754,0.5555555555555556,0.9950248756218906,0.7130124777183601,0.9278074866310161
-0.9293221202948772,0.5721925133689839,0.5571030640668524,0.9950248756218906,0.7142857142857143,0.9278074866310161
-0.923361289445451,0.5748663101604278,0.5586592178770949,0.9950248756218906,0.7155635062611807,0.9278074866310161
-0.9221126860689157,0.5855614973262032,0.5649717514124294,0.9950248756218906,0.7207207207207207,0.9278074866310161
-0.9210451985703951,0.5935828877005348,0.5698005698005698,0.9950248756218906,0.7246376811594203,0.9278074866310161
-0.9178211578253663,0.5962566844919787,0.5714285714285714,0.9950248756218906,0.7259528130671506,0.9278074866310161
-0.915471054817409,0.606951871657754,0.5780346820809249,0.9950248756218906,0.7312614259597806,0.9278074866310161
-0.8896308260431329,0.6096256684491979,0.5797101449275363,0.9950248756218906,0.7326007326007326,0.9278074866310161
